Countrycode,AirQualityStation,AirPollutant,Concentration,UnitOfMeasurement,DatetimeBegin
ES,STA_ES1893A,PM2.5,25.0,µg/m3,2017-01-02 00:00:00 +01:00
ES,STA_ES1893A,PM2.5,24.0,µg/m3,2017-01-05 00:00:00 +01:00
ES,STA_ES1893A,PM2.5,24.0,µg/m3,2017-01-08 00:00:00 +01:00
ES,STA_ES1893A,PM2.5,6.0,µg/m3,2017-01-11 00:00:00 +01:00
ES,STA_ES1893A,PM2.5,7.0,µg/m3,2017-01-14 00:00:00 +01:00
ES,STA_ES1893A,PM2.5,4.0,µg/m3,2017-01-17 00:00:00 +01:00
ES,STA_ES1893A,PM2.5,8.0,µg/m3,2017-01-20 00:00:00 +01:00
ES,STA_ES1893A,PM2.5,13.0,µg/m3,2017-01-23 00:00:00 +01:00
ES,STA_ES1893A,PM2.5,32.0,µg/m3,2017-01-26 00:00:00 +01:00
ES,STA_ES1893A,PM2.5,33.0,µg/m3,2017-01-29 00:00:00 +01:00
ES,STA_ES1893A,PM2.5,25.0,µg/m3,2017-02-01 00:00:00 +01:00
ES,STA_ES1893A,PM2.5,5.0,µg/m3,2017-02-04 00:00:00 +01:00
ES,STA_ES1893A,PM2.5,7.0,µg/m3,2017-02-07 00:00:00 +01:00
ES,STA_ES1893A,PM2.5,19.0,µg/m3,2017-02-10 00:00:00 +01:00
ES,STA_ES1893A,PM2.5,8.0,µg/m3,2017-02-13 00:00:00 +01:00
ES,STA_ES1893A,PM2.5,14.0,µg/m3,2017-02-16 00:00:00 +01:00
ES,STA_ES1893A,PM2.5,17.0,µg/m3,2017-02-19 00:00:00 +01:00
ES,STA_ES1893A,PM2.5,26.0,µg/m3,2017-02-22 00:00:00 +01:00
ES,STA_ES1893A,PM2.5,12.0,µg/m3,2017-02-25 00:00:00 +01:00
ES,STA_ES1893A,PM2.5,5.0,µg/m3,2017-02-28 00:00:00 +01:00
ES,STA_ES1893A,PM2.5,16.0,µg/m3,2017-03-03 00:00:00 +01:00
ES,STA_ES1893A,PM2.5,4.0,µg/m3,2017-03-06 00:00:00 +01:00
ES,STA_ES1893A,PM2.5,16.0,µg/m3,2017-03-09 00:00:00 +01:00
